id;video_link;title;description;upload_date
1;../fake-data/blob/hipster.txt;deposit e-business;management;2023-01-09
2;../fake-data/blob/hipster.txt;Front-line Electronics Account;interfaces;2023-01-10
3;../fake-data/blob/hipster.txt;Estate Avon Programmable;core Ghana;2023-01-10
4;../fake-data/blob/hipster.txt;Account withdrawal Re-engineered;neural;2023-01-09
5;../fake-data/blob/hipster.txt;Sausages 5th invoice;Glen;2023-01-09
6;../fake-data/blob/hipster.txt;open Martinique quantifying;Card;2023-01-09
7;../fake-data/blob/hipster.txt;Solutions;Delaware hacking teal;2023-01-10
8;../fake-data/blob/hipster.txt;system;Automotive Tennessee Grocery;2023-01-10
9;../fake-data/blob/hipster.txt;mobile;Tasty Sleek Refined;2023-01-10
10;../fake-data/blob/hipster.txt;hard magenta payment;revolutionize Generic;2023-01-10
